#{"t_start": 1764713411.490542, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
4.0,1310,6.138881
0.0,528,6.951722
3.0,919,8.393133
1.0,687,9.535793
3.0,934,11.008121
2.0,812,12.345312
0.0,543,13.232207
1.0,715,14.357003
2.0,815,15.651102
0.0,532,16.46281
2.0,806,17.793494
1.0,712,18.925943
0.0,540,19.78583
0.0,516,20.606095
0.0,520,21.390992
0.0,500,22.170911
0.0,516,23.002819
3.0,1010,24.709484
3.0,1043,26.375333
0.0,509,27.158444
2.0,906,28.585928
1.0,625,29.51884
1.0,617,30.490561
1.0,693,31.532947
3.0,1093,33.241115
0.0,541,34.081699
3.0,993,35.654116
1.0,716,36.779205
0.0,543,37.609311
1.0,708,38.7135
0.0,519,39.484286
0.0,520,40.285669
3.0,916,41.851912
5.0,1336,44.124334
0.0,516,44.966045
1.0,707,46.078335
0.0,532,46.940886
0.0,535,47.733044
2.0,911,50.462466
0.0,515,51.389045
2.0,908,53.141143
0.0,539,54.143015
3.0,1010,56.132462
0.0,521,57.09944
0.0,533,58.062625
1.0,611,59.193706
0.0,543,60.195341
2.0,799,61.684245
1.0,700,62.994369
0.0,504,63.971115
1.0,731,65.375601
1.0,616,66.577377
0.0,528,67.512797
0.0,523,68.450117
1.0,702,69.848053
0.0,537,70.81666
3.0,1020,72.750705
0.0,509,73.760834
2.0,794,75.340878
1.0,673,76.602822
2.0,821,78.191818
0.0,523,79.14411
2.0,906,80.925091
4.0,1135,83.190673
1.0,707,84.567609
0.0,527,85.537971
2.0,917,87.341513
7.0,1630,90.646692
5.0,1336,93.239011
2.0,906,95.02172
5.0,1350,97.632275
2.0,827,99.231675
0.0,501,100.13759
0.0,535,101.117281
4.0,1206,103.518255
3.0,922,105.423743
4.0,1070,107.528396
1.0,725,108.894959
1.0,630,110.080692
0.0,517,111.042522
2.0,901,112.8019
0.0,535,113.748917
2.0,755,115.224545
0.0,532,116.205102
4.0,1216,118.634165
1.0,635,119.769895
1.0,714,121.125571
0.0,529,122.170777
0.0,525,123.144169
4.0,1138,125.389538
0.0,516,126.332465
1.0,624,127.524648
0.0,511,128.417426
1.0,631,129.647496
2.0,920,131.462039
0.0,533,132.38416
1.0,696,133.705886
0.0,515,134.700516
0.0,499,135.625247
2.0,904,137.47369
1.0,636,138.687155
1.0,643,139.879354
0.0,516,140.816267
1.0,630,141.975559
0.0,527,142.955765
2.0,769,144.407806
2.0,809,146.006227
2.0,817,147.590722
1.0,704,148.902009
3.0,1090,151.075577
1.0,711,152.424883
0.0,537,153.394169
1.0,640,154.60913
1.0,635,155.811988
1.0,712,157.140373
1.0,700,158.448136
2.0,914,160.190954
0.0,529,161.154353
1.0,627,162.296526
2.0,808,163.797843
6.0,1565,166.904655
3.0,1061,169.000581
1.0,708,170.380254
0.0,524,171.33595
4.0,1265,173.810355
0.0,532,174.820401
2.0,910,176.512319
3.0,1037,178.556062
0.0,533,179.569524
1.0,700,180.889421
0.0,535,181.838473
0.0,539,182.799463
3.0,1024,184.783361
4.0,1005,186.792697
2.0,816,188.332991
4.0,1143,190.626398
3.0,1024,192.656628
4.0,1116,194.932905
0.0,531,195.882664
0.0,507,196.858557
2.0,904,198.66694
2.0,843,200.280716
1.0,643,201.539346
1.0,707,202.923322
0.0,528,203.864034
2.0,890,205.581615
3.0,1014,207.526907
0.0,521,208.50264
1.0,633,209.678586
1.0,647,210.891139
0.0,525,211.800936
5.0,1205,214.202039
3.0,1098,216.3011
0.0,517,217.256982
4.0,1221,219.613711
0.0,512,220.563296
0.0,512,221.519905
0.0,539,222.528212
0.0,528,223.512593
4.0,1228,225.9614
1.0,710,227.286932
1.0,649,228.460443
0.0,508,229.445955
3.0,1018,231.417164
0.0,526,232.360235
2.0,837,234.017012
0.0,528,234.976473
1.0,632,236.153883
0.0,528,237.065521
2.0,857,238.66079
8.0,1936,242.512627
0.0,514,243.458184
2.0,818,245.085622
2.0,745,246.522649
1.0,713,247.884231
1.0,688,249.185918
0.0,516,250.101588
0.0,528,251.061315
3.0,875,252.762207
0.0,540,253.814323
1.0,652,255.088202
0.0,506,256.053067
4.0,1285,258.682117
2.0,809,260.228725
1.0,640,261.377282
2.0,833,262.897615
1.0,627,264.14301
0.0,536,265.089106
1.0,633,266.273309
1.0,633,267.434915
2.0,906,269.177633
0.0,540,270.144845
2.0,887,271.822422
1.0,688,273.134069
2.0,835,274.763181
0.0,524,275.671854
2.0,897,277.344402
4.0,1216,279.678013
0.0,541,280.661028
1.0,641,281.875385
2.0,814,283.412435
3.0,879,285.232114
1.0,739,286.590933
1.0,713,287.935168
0.0,528,288.851588
1.0,695,290.138363
0.0,520,291.080851
5.0,1335,293.703037
1.0,727,295.107555
0.0,507,296.036035
1.0,704,297.40979
1.0,698,298.747509
1.0,699,300.026655
0.0,518,300.979467
1.0,633,302.165416
4.0,1204,304.527136
0.0,535,305.497843
0.0,499,306.418071
2.0,826,307.923189
1.0,640,309.045395
5.0,1334,311.538532
0.0,515,312.473655
0.0,522,313.432599
0.0,528,314.446955
1.0,626,315.654668
0.0,515,316.59412
0.0,531,317.577351
1.0,709,318.912977
0.0,516,319.86334
1.0,723,321.244419
3.0,1033,323.226743
0.0,519,324.219912
2.0,917,325.968072
0.0,511,326.944737
1.0,689,328.293061
0.0,530,329.271895
0.0,525,330.23522
2.0,825,331.79344
1.0,724,333.080359
0.0,516,334.047165
3.0,1012,336.015342
0.0,520,336.9727
1.0,712,338.24084
1.0,708,339.571911
3.0,1105,341.653901
0.0,528,342.584129
0.0,521,343.543549
0.0,517,344.528908
5.0,1189,346.851269
0.0,512,347.792045
0.0,543,348.721346
2.0,808,350.25906
0.0,520,351.185983
4.0,1222,353.524884
2.0,912,355.284557
5.0,1420,358.098513
1.0,633,359.300844
0.0,500,360.201841
4.0,1212,362.608186
2.0,736,364.073383
0.0,522,365.048842
1.0,641,366.219463
1.0,699,367.553112
0.0,535,368.55569
2.0,926,370.288419
0.0,514,371.274191
0.0,529,372.217628
2.0,814,373.756252
0.0,511,374.72794
2.0,833,376.268338
4.0,1222,378.643188
4.0,1222,380.962693
3.0,941,382.735221
1.0,653,383.988076
2.0,819,385.588953
0.0,543,386.518317
1.0,641,387.667345
2.0,845,389.349545
1.0,704,390.640406
4.0,1212,393.085114
5.0,1418,395.875966
0.0,526,396.81215
4.0,1200,399.151332
0.0,532,400.115743
4.0,1201,402.486553
1.0,711,403.915762
0.0,518,404.883697
2.0,764,406.349183
2.0,764,407.772364
0.0,528,408.727286
3.0,1016,410.641427
3.0,1080,412.695955
1.0,644,413.862254
2.0,834,415.457832
10.0,1834,423.202293
0.0,519,424.190007
0.0,517,425.140672
6.0,1524,428.19339
0.0,537,429.183922
4.0,1200,431.472227
2.0,818,433.016982
10.0,1735,436.483716
2.0,829,437.985452
0.0,521,439.045016
2.0,834,440.617066
1.0,616,441.733394
0.0,536,442.682745
3.0,1008,444.639486
0.0,517,445.620812
5.0,1399,448.351611
1.0,681,449.636451
1.0,641,450.795683
0.0,520,451.709338
3.0,1022,453.685378
0.0,524,454.681154
3.0,1030,456.622141
0.0,526,457.597395
4.0,1205,459.954988
0.0,521,460.875725
5.0,1414,463.645789
1.0,636,464.865942
2.0,812,466.433371
0.0,520,467.35438
1.0,705,468.64813
0.0,537,469.549575
0.0,533,470.474366
0.0,521,471.453792
0.0,519,472.418929
1.0,644,473.614942
7.0,1302,476.184053
2.0,801,477.690754
1.0,636,478.810019
5.0,1407,481.517838
0.0,516,482.398344
3.0,1022,484.329519
0.0,531,485.250816
0.0,523,486.177906
4.0,1201,488.48413
0.0,501,489.37565
2.0,826,490.928782
0.0,532,491.81941
0.0,525,492.786982
0.0,512,493.752048
5.0,1426,496.557436
2.0,913,498.306055
1.0,718,499.675902
2.0,813,501.303376
2.0,798,502.803987
0.0,536,503.788076
2.0,825,505.472571
0.0,539,506.510173
0.0,508,507.473664
6.0,1530,510.59089
4.0,1196,512.984834
1.0,710,514.335295
2.0,817,515.925929
0.0,532,516.874467
3.0,1020,518.802019
5.0,1415,521.586313
0.0,523,522.53543
2.0,813,524.178476
6.0,1622,527.475253
4.0,1204,529.755468
9.0,1624,532.952557
2.0,821,534.559289
1.0,636,535.709682
0.0,508,536.615186
0.0,516,537.535205
0.0,511,538.412422
0.0,519,539.337499
0.0,515,540.313466
0.0,524,541.278783
2.0,757,542.657953
1.0,640,543.88954
2.0,821,545.480328
0.0,516,546.445011
4.0,1117,548.674613
0.0,528,549.674512
2.0,833,551.187523
0.0,541,552.146408
0.0,539,553.117682
0.0,523,554.108626
0.0,541,555.112665
0.0,535,556.08886
2.0,819,557.567371
2.0,809,559.112947
1.0,731,560.490326
5.0,1387,563.266111
12.0,2136,567.550016
6.0,1597,570.762984
0.0,517,571.733188
0.0,528,572.663808
2.0,817,574.245004
2.0,767,575.686199
0.0,521,576.689718
1.0,716,578.01166
0.0,525,579.005615
0.0,539,579.989021
2.0,823,581.557185
0.0,524,582.513729
0.0,512,583.412984
3.0,998,585.392348
1.0,632,586.555291
3.0,1008,588.53429
0.0,524,589.49018
0.0,537,590.480917
10.0,1730,593.75376
1.0,727,595.10145
6.0,1602,598.3351
0.0,531,599.285638
0.0,540,600.213918
0.0,524,601.121299
0.0,543,602.080476
10.0,1748,605.569179
2.0,912,607.491965
0.0,508,608.403919
0.0,539,609.340718
0.0,516,610.291214
10.0,1748,613.775834
0.0,531,614.779192
2.0,759,616.237476
2.0,821,617.843459
0.0,532,618.770206
1.0,651,619.987787
0.0,524,620.970999
10.0,1824,624.583809
0.0,533,625.526531
10.0,1728,628.942798
0.0,535,629.915587
0.0,517,630.885221
1.0,727,632.232145
2.0,825,633.793782
0.0,515,634.742764
0.0,523,635.703586
0.0,529,636.655179
7.0,1100,638.809155
10.0,1736,642.187278
5.0,1383,644.960538
9.0,1616,648.128626
2.0,831,649.668446
1.0,689,650.949451
5.0,1422,653.646853
1.0,712,655.061804
0.0,537,656.023139
1.0,631,657.229986
0.0,528,658.181026
9.0,1628,661.326793
4.0,1278,663.770331
1.0,643,664.955764
8.0,1817,668.639276
5.0,1332,671.227772
0.0,525,672.199163
3.0,1028,674.284806
2.0,905,676.000311
9.0,1644,679.252681
6.0,1500,682.243691
0.0,537,683.230471
1.0,707,684.642106
9.0,1542,687.649095
2.0,829,689.220017
1.0,653,690.37001
2.0,749,691.774017
9.0,1640,695.014192
3.0,941,696.853956
1.0,696,698.121029
0.0,535,699.108531
0.0,516,700.1043
0.0,516,701.067516
2.0,834,702.637544
7.0,1690,705.982659
13.0,2212,710.358692
9.0,1628,713.57232
0.0,520,714.554744
0.0,536,715.463933
0.0,516,716.437365
3.0,891,718.117904
12.0,1952,721.962916
6.0,1450,724.82392
0.0,531,725.76097
11.0,1111,727.825635
14.0,1491,730.669058
12.0,2027,734.674705
2.0,840,736.214574
8.0,1491,739.235003
2.0,823,740.81272
0.0,520,741.757522
10.0,1675,745.065233
5.0,1430,747.901635
4.0,1093,750.035348
6.0,1460,752.87839
1.0,635,754.082857
2.0,767,755.526538
0.0,527,756.542531
2.0,826,758.135545
1.0,628,759.324122
2.0,837,760.873594
3.0,891,762.498921
