#{"t_start": 1764629519.379897, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,922,2.449249
1.0,725,3.806241
3.0,968,5.810868
2.0,881,7.561745
1.0,703,8.99214
5.0,1246,11.535753
1.0,692,12.944932
1.0,625,14.215783
0.0,537,15.2618
0.0,527,16.284962
0.0,520,17.383178
0.0,527,18.501331
0.0,533,19.615546
2.0,820,21.363745
2.0,922,23.409883
3.0,1001,25.706685
3.0,1009,27.94051
4.0,1128,30.407662
2.0,819,32.24931
2.0,817,33.992573
1.0,713,35.48944
1.0,709,37.027696
2.0,841,38.800022
3.0,1026,41.047921
1.0,633,42.413215
0.0,521,43.506877
0.0,537,44.592041
0.0,529,45.760329
0.0,543,46.88042
1.0,656,48.286917
5.0,1394,51.472036
3.0,1130,53.985739
3.0,958,56.323834
2.0,755,58.041996
0.0,543,59.133013
0.0,535,60.319328
7.0,1013,62.662412
0.0,527,63.664427
6.0,1596,67.496689
1.0,644,68.97091
0.0,515,70.053134
0.0,524,71.202356
0.0,502,72.232436
1.0,690,73.764845
4.0,1226,76.59595
3.0,935,78.617917
2.0,807,80.454759
0.0,532,81.491818
2.0,815,83.243969
5.0,1415,86.525382
1.0,712,87.995059
0.0,532,89.10325
2.0,811,90.900723
0.0,529,92.054248
1.0,622,93.454153
0.0,531,94.575233
5.0,1387,97.947196
0.0,541,99.129247
3.0,1008,101.614067
2.0,748,103.221868
0.0,524,104.358493
5.0,1422,107.616354
2.0,741,109.267228
4.0,1306,112.33614
1.0,631,113.834011
1.0,704,115.477972
0.0,516,116.677401
1.0,617,118.010005
3.0,1090,120.621931
1.0,719,122.294257
0.0,527,123.405116
0.0,540,124.631683
0.0,508,125.761644
1.0,645,127.272693
0.0,539,128.438581
1.0,624,129.833286
2.0,806,131.734841
2.0,812,133.652652
3.0,895,135.804553
0.0,525,136.970448
0.0,491,137.99525
0.0,521,139.10297
0.0,543,140.306966
3.0,1000,142.5525
1.0,640,143.954579
0.0,540,145.138537
0.0,515,146.330036
0.0,499,147.357014
5.0,1195,150.133579
0.0,527,151.250666
0.0,532,152.447212
2.0,814,154.301211
0.0,523,155.560133
7.0,1523,159.201188
2.0,765,160.924456
6.0,1502,164.384016
0.0,536,165.605574
0.0,535,166.820021
2.0,804,168.646659
0.0,519,169.862424
3.0,945,172.046963
6.0,1128,174.671386
0.0,507,175.85536
4.0,1204,178.771725
0.0,539,179.971506
5.0,1426,183.357493
0.0,525,184.549817
0.0,527,185.646967
1.0,698,187.294785
3.0,883,189.319272
0.0,540,190.596919
5.0,1410,194.009217
0.0,523,195.205408
7.0,1788,199.521388
3.0,879,201.511406
0.0,540,202.704796
0.0,531,203.787414
0.0,519,205.150207
5.0,1258,208.215733
4.0,1226,210.949793
0.0,519,212.151882
7.0,1019,214.432826
2.0,805,216.273691
0.0,523,217.469664
0.0,531,218.620513
0.0,519,219.768228
7.0,1007,222.056743
4.0,1210,224.991212
7.0,1027,227.328126
11.0,1107,229.886157
7.0,1019,232.206832
11.0,1667,236.183827
0.0,516,237.355844
0.0,540,238.534314
0.0,516,239.618774
3.0,1006,241.994012
0.0,532,243.117913
4.0,1220,246.06995
4.0,1102,248.707948
0.0,536,249.884706
0.0,515,251.070167
2.0,835,252.937457
4.0,1130,255.57684
9.0,1339,258.574976
11.0,1099,261.106858
0.0,523,262.246032
0.0,536,263.383845
11.0,1095,265.947827
1.0,639,267.269532
0.0,527,268.426515
11.0,1099,270.844385
11.0,1659,274.449639
0.0,527,275.583357
3.0,931,277.553735
4.0,1134,279.963951
4.0,1199,282.636255
11.0,1107,285.016365
4.0,1102,287.497391
0.0,532,288.548489
1.0,632,289.891064
11.0,1111,292.303016
5.0,1191,294.963034
0.0,540,296.074163
0.0,540,297.144844
0.0,524,298.222369
0.0,523,299.313836
3.0,918,301.308984
4.0,1114,303.765205
1.0,632,305.177984
1.0,643,306.494193
0.0,508,307.498557
11.0,1095,309.799141
11.0,1111,312.16087
1.0,624,313.442379
9.0,1632,317.061615
11.0,1111,319.359012
5.0,1403,322.353501
4.0,1094,324.839687
1.0,631,326.15088
0.0,523,327.214445
11.0,1091,329.628247
11.0,1099,331.954974
11.0,1091,334.325382
0.0,539,335.441418
11.0,1091,337.829137
9.0,1624,341.316427
5.0,1398,344.443983
0.0,528,345.596665
3.0,916,347.560076
11.0,1107,349.927274
1.0,631,351.216132
11.0,1103,353.511237
9.0,1640,357.011708
0.0,528,358.085207
1.0,627,359.450684
0.0,524,360.541263
9.0,1620,364.105051
9.0,1628,367.701811
11.0,1095,369.995901
2.0,772,371.592218
4.0,1202,374.177313
9.0,1315,377.047568
2.0,923,378.972699
11.0,1107,381.262271
2.0,839,382.939471
8.0,1902,387.263575
11.0,1103,389.542133
5.0,1418,392.5923
9.0,1311,395.472251
7.0,1003,397.631842
11.0,1103,400.034907
11.0,1087,402.381286
1.0,703,403.847372
3.0,943,405.848974
9.0,1620,409.358671
11.0,1087,411.686162
11.0,1107,413.991222
2.0,895,415.912353
11.0,1091,418.313158
1.0,647,419.646723
11.0,1107,422.040914
9.0,1644,425.674448
1.0,648,426.982054
3.0,1035,429.150115
9.0,1644,432.673583
2.0,751,434.232255
2.0,768,435.828789
2.0,896,437.745862
11.0,1087,440.097251
3.0,892,441.93601
2.0,901,443.785123
