episode_id,total_reward,steps,brick_hits,lives_left
1,280.0,1591,82,0
2,197.0,1564,65,0
3,277.0,949,58,0
4,280.0,1591,82,0
5,280.0,1591,82,0
6,197.0,1564,65,0
7,276.0,1562,78,0
8,197.0,1564,65,0
9,277.0,949,58,0
10,280.0,1591,82,0
11,197.0,1564,65,0
12,276.0,1562,78,0
13,197.0,1564,65,0
14,277.0,949,58,0
15,277.0,949,58,0
16,276.0,1562,78,0
17,277.0,949,58,0
18,276.0,1562,78,0
19,280.0,1591,82,0
20,277.0,949,58,0
21,277.0,949,58,0
22,276.0,1562,78,0
23,197.0,1564,65,0
24,197.0,1564,65,0
25,277.0,949,58,0
26,277.0,949,58,0
27,197.0,1564,65,0
28,197.0,1564,65,0
29,276.0,1562,78,0
30,197.0,1564,65,0
31,277.0,949,58,0
32,276.0,1562,78,0
33,277.0,949,58,0
34,197.0,1564,65,0
35,276.0,1562,78,0
36,197.0,1564,65,0
37,280.0,1591,82,0
38,197.0,1564,65,0
39,277.0,949,58,0
40,280.0,1591,82,0
41,276.0,1562,78,0
42,277.0,949,58,0
43,276.0,1562,78,0
44,197.0,1564,65,0
45,277.0,949,58,0
46,276.0,1562,78,0
47,197.0,1564,65,0
48,276.0,1562,78,0
49,280.0,1591,82,0
50,280.0,1591,82,0
51,276.0,1562,78,0
52,197.0,1564,65,0
53,276.0,1562,78,0
54,197.0,1564,65,0
55,277.0,949,58,0
56,197.0,1564,65,0
57,276.0,1562,78,0
58,197.0,1564,65,0
59,280.0,1591,82,0
60,197.0,1564,65,0
61,197.0,1564,65,0
62,277.0,949,58,0
63,276.0,1562,78,0
64,280.0,1591,82,0
65,280.0,1591,82,0
66,197.0,1564,65,0
67,277.0,949,58,0
68,277.0,949,58,0
69,276.0,1562,78,0
70,277.0,949,58,0
71,277.0,949,58,0
72,276.0,1562,78,0
73,197.0,1564,65,0
74,197.0,1564,65,0
75,280.0,1591,82,0
76,197.0,1564,65,0
77,197.0,1564,65,0
78,277.0,949,58,0
79,197.0,1564,65,0
80,197.0,1564,65,0
81,276.0,1562,78,0
82,277.0,949,58,0
83,197.0,1564,65,0
84,197.0,1564,65,0
85,276.0,1562,78,0
86,277.0,949,58,0
87,280.0,1591,82,0
88,280.0,1591,82,0
89,197.0,1564,65,0
90,277.0,949,58,0
91,197.0,1564,65,0
92,197.0,1564,65,0
93,197.0,1564,65,0
94,276.0,1562,78,0
95,280.0,1591,82,0
96,276.0,1562,78,0
97,276.0,1562,78,0
98,277.0,949,58,0
99,197.0,1564,65,0
100,276.0,1562,78,0
