episode_id,total_reward,steps,brick_hits,lives_left
1,16.0,761,16,0
2,8.0,464,8,0
3,25.0,871,19,0
4,15.0,717,15,0
5,17.0,667,14,0
6,29.0,889,20,0
7,20.0,627,14,0
8,11.0,485,8,0
9,8.0,440,8,0
10,15.0,739,15,0
11,20.0,639,14,0
12,19.0,619,13,0
13,16.0,682,13,0
14,14.0,456,8,0
15,12.0,495,9,0
16,14.0,630,11,0
17,14.0,416,8,0
18,12.0,367,6,0
19,18.0,697,15,0
20,14.0,611,11,0
21,33.0,979,24,0
22,16.0,637,13,0
23,15.0,474,9,0
24,9.0,489,9,0
25,15.0,679,12,0
26,9.0,515,9,0
27,11.0,469,8,0
28,13.0,527,10,0
29,14.0,520,11,0
30,16.0,513,10,0
31,16.0,676,13,0
32,10.0,552,10,0
33,21.0,789,18,0
34,18.0,643,15,0
35,9.0,374,6,0
36,11.0,466,8,0
37,14.0,460,8,0
38,16.0,685,13,0
39,16.0,640,13,0
40,15.0,679,12,0
41,17.0,413,8,0
42,25.0,938,19,0
43,23.0,719,17,0
44,21.0,732,15,0
45,17.0,644,14,0
46,14.0,627,14,0
47,16.0,774,16,0
48,37.0,1115,25,0
49,14.0,745,14,0
50,19.0,658,13,0
51,26.0,1058,23,0
52,16.0,662,13,0
53,11.0,317,5,0
54,11.0,529,11,0
55,26.0,637,14,0
56,20.0,519,11,0
57,25.0,872,19,0
58,21.0,712,15,0
59,16.0,518,10,0
60,13.0,665,13,0
61,17.0,659,14,0
62,14.0,568,11,0
63,14.0,737,14,0
64,9.0,510,9,0
65,22.0,855,19,0
66,33.0,871,21,0
67,16.0,597,13,0
68,14.0,567,11,0
69,23.0,767,17,0
70,12.0,586,12,0
71,17.0,712,14,0
72,14.0,661,14,0
73,21.0,791,18,0
74,12.0,618,12,0
75,8.0,325,5,0
76,24.0,802,18,0
77,10.0,421,7,0
78,34.0,1035,25,0
79,12.0,518,9,0
80,15.0,596,12,0
81,14.0,718,14,0
82,21.0,811,18,0
83,14.0,513,11,0
84,8.0,485,8,0
85,14.0,555,11,0
86,14.0,610,11,0
87,8.0,514,8,0
88,14.0,704,14,0
89,14.0,651,14,0
90,13.0,627,13,0
91,10.0,419,7,0
92,28.0,973,22,0
93,11.0,606,11,0
94,7.0,408,7,0
95,17.0,559,11,0
96,12.0,589,12,0
97,19.0,744,16,0
98,16.0,709,13,0
99,16.0,647,13,0
100,22.0,858,19,0
