episode_id,total_reward,steps,brick_hits,lives_left
1,1.0,170,1,0
2,1.0,175,1,0
3,2.0,213,2,0
4,0.0,130,0,0
5,1.0,176,1,0
6,0.0,138,0,0
7,1.0,188,1,0
8,1.0,176,1,0
9,1.0,168,1,0
10,3.0,236,3,0
11,0.0,134,0,0
12,0.0,140,0,0
13,2.0,209,2,0
14,1.0,193,1,0
15,1.0,180,1,0
16,0.0,135,0,0
17,1.0,162,1,0
18,0.0,143,0,0
19,0.0,142,0,0
20,0.0,126,0,0
21,1.0,172,1,0
22,0.0,139,0,0
23,0.0,130,0,0
24,1.0,194,1,0
25,1.0,192,1,0
26,2.0,205,2,0
27,2.0,206,2,0
28,1.0,153,1,0
29,1.0,161,1,0
30,2.0,188,2,0
31,0.0,136,0,0
32,1.0,157,1,0
33,0.0,131,0,0
34,0.0,134,0,0
35,0.0,138,0,0
36,2.0,205,2,0
37,3.0,257,3,0
38,0.0,137,0,0
39,0.0,145,0,0
40,2.0,215,2,0
41,1.0,155,1,0
42,2.0,197,2,0
43,0.0,143,0,0
44,1.0,206,1,0
45,0.0,135,0,0
46,0.0,135,0,0
47,0.0,132,0,0
48,2.0,203,2,0
49,0.0,129,0,0
50,2.0,204,2,0
51,0.0,137,0,0
52,2.0,194,2,0
53,0.0,141,0,0
54,1.0,178,1,0
55,0.0,135,0,0
56,0.0,136,0,0
57,0.0,144,0,0
58,7.0,260,4,0
59,2.0,211,2,0
60,1.0,195,1,0
61,0.0,154,0,0
62,0.0,133,0,0
63,1.0,164,1,0
64,0.0,129,0,0
65,2.0,206,2,0
66,3.0,281,3,0
67,1.0,182,1,0
68,0.0,135,0,0
69,1.0,196,1,0
70,0.0,147,0,0
71,2.0,183,2,0
72,1.0,159,1,0
73,0.0,128,0,0
74,1.0,182,1,0
75,2.0,228,2,0
76,2.0,204,2,0
77,3.0,244,3,0
78,1.0,153,1,0
79,0.0,141,0,0
80,2.0,191,2,0
81,2.0,213,2,0
82,1.0,169,1,0
83,0.0,132,0,0
84,5.0,315,5,0
85,1.0,162,1,0
86,1.0,208,1,0
87,3.0,247,3,0
88,2.0,210,2,0
89,1.0,161,1,0
90,0.0,154,0,0
91,0.0,139,0,0
92,3.0,245,3,0
93,4.0,291,4,0
94,1.0,182,1,0
95,4.0,293,4,0
96,0.0,143,0,0
97,0.0,131,0,0
98,0.0,140,0,0
99,0.0,132,0,0
100,1.0,177,1,0
101,1.0,163,1,0
102,1.0,155,1,0
103,0.0,130,0,0
104,1.0,168,1,0
105,1.0,171,1,0
106,3.0,251,3,0
107,0.0,131,0,0
108,3.0,249,3,0
109,1.0,178,1,0
110,2.0,207,2,0
